1, Bulbasaur, 10, 14, .7, 6.9, 11, 07
2, Ivysaur, 10, 14, 1.0, 13.0, 11, 07
3, Venusaur, 10, 14, 2.0, 100.0, 11, 07
4, Charmander, 07, 00, .6, 8.5, 11, 03
5, Charmeleon, 07, 00, 1.1, 19.0, 11, 03
6, Charizard, 07, 08, 1.7, 90.5, 11, 03
7, Squirtle, 18, 00, .5, 9.0, 11, 13
8, Wartortle, 18, 00, 1.0, 22.5, 11, 13
9, Blastoise, 18, 00, 1.6, 85.5, 11, 13
10, Caterpie, 01, 00, .3, 2.9, 01, 00
11, Metapod, 01, 00, .7, 9.9, 01, 00
12, Butterfree, 01, 08, 1.1, 32, 01, 00
13, Weedle, 01, 14, .3, 3.2, 01, 00
14, Kakuna, 01, 14, .6, 10.0, 01, 00
15, Beedrill, 01, 14, 1.0, 29.5, 01, 00
16, Pidgey, 13, 08, .3, 1.8, 06, 00
17, Pidgeotto, 13, 08, 1.1, 30.0, 06, 00
18, Pidgeot, 13, 08, 1.5, 39.5, 06, 00
19, Rattata, 13, 00, .3, 3.5, 05, 00
20, Raticate, 13, 00, .7, 18.5, 05, 00
21, Spearow, 13, 08, .3, 2.0, 06, 00
22, Fearow, 13, 08, 1.2, 38.0, 06, 00
23, Ekans, 14, 00, 2.0, 6.9, 05, 03
24, Arbok, 14, 00, 3.5, 65.0, 05, 03
25, Pikachu, 04, 00, .4, 6.0, 05, 04
26, Raichu, 04, 00, .8, 30.0, 05, 04
27, Sandshrew, 11, 00, .6, 12.0, 05, 00
28, Sandslash, 11, 00, 1.0, 29.5, 05, 00
29, Nidoran (Female), 14, 00, .4, 7.0, 11, 05
30, Nidorina, 14, 00, .8, 20.0, 16, 00
31, Nidoqueen, 14, 11, 1.3, 60.0, 16, 00
32, Nidoran (Male), 14, 00, .5, 9.0, 11, 05
33, Nidorino, 14, 00, .9, 19.5, 11, 05
34, Nidoking, 14, 11, 1.4, 62.0, 11, 05
35, Clefairy, 13, 00, .6, 7.5, 04, 00
36, Clefable, 13, 00, 1.3, 40.0, 04, 00
37, Vulpix, 07, 00, .6, 9.9, 05, 00
38, Ninetales, 07, 00, 1.1, 19.9, 05, 00
39, Jigglypuff, 13, 00, .5, 5.5, 04, 00
40, Wigglytuff, 13, 00, 1.0, 12.0, 04, 00
41, Zubat, 14, 08, .8, 7.5, 06, 00
42, Golbat, 14, 08, 1.6, 55.0, 06, 00
43, Oddish, 10, 14, .5, 5.4, 07, 00
44, Gloom, 10, 14, .8, 8.6, 07, 00
45, Vileplume, 10, 14, 1.2, 18.6, 07, 00
46, Paras, 01, 10, .3, 5.4, 01, 07
47, Parasect, 01, 10, 1.0, 29.5, 01, 07
48, Venonat, 01, 14, 1.0, 30.0, 01, 00
49, Venomoth, 01, 14, 1.5, 12.5, 01, 00
50, Diglett, 11, 00, .2, .8, 05, 00
51, Dugtrio, 11, 00, .7, 33.3, 05, 00
52, Meowth, 13, 00, .4, 4.2, 05, 00
53, Persian, 13, 00, 1.0, 32.0, 05, 00
54, Psyduck, 18, 00, .8, 19.6, 13, 05
55, Golduck, 18, 00, 1.7, 76.6, 13, 05
56, Mankey, 06, 00, .5, 28.0, 05, 00
57, Primeape, 06, 00, 1.0, 32.0, 05, 00
58, Growlithe, 07, 00, .7, 19.0, 05, 00
59, Arcanine, 07, 00, 1.9, 155.0, 05, 00
60, Poliwag, 18, 00, .6, 12.4, 13, 00
61, Poliwhirl, 18, 00, 1.0, 20.0, 13, 00
62, Poliwrath, 18, 06, 1.3, 54.0, 13, 00
63, Abra, 15, 00, .9, 19.5, 08, 00
64, Kadabra, 15, 00, 1.3, 56.5, 08, 00
65, Alakazam, 15, 00, 1.5, 48.0, 08, 00
66, Machop, 06, 00, .8, 19.5, 08, 00
67, Machoke, 06, 00, 1.5, 70.5, 08, 00
68, Machamp, 06, 00, 1.6, 130.0, 08, 00
69, Bellsprout, 10, 14, .7, 4.0, 07, 00
70, Weepinbell, 10, 14, 1.0, 6.4, 07, 00
71, Victreebel, 10, 14, 1.7, 15.5, 07, 00
72, Tentacool, 18, 14, .9, 45.5, 15, 00
73, Tentacruel, 18, 14, 1.6, 55.0, 15, 00
74, Geodude, 16, 11, .4, 20.0, 10, 00
75, Graveler, 16, 11, 1.0, 105.0, 10, 00
76, Golem, 16, 11, 1.4, 300.0, 10, 00
77, Ponyta, 07, 00, 1.0, 30.0, 05, 00
78, Rapidash, 07, 00, 1.7, 95.0, 05, 00
79, Slowpoke, 18, 15, 1.2, 36.0, 11, 13
80, Slowbro, 18, 15, 1.6, 78.5, 11, 13
81, Magnemite, 04, 17, .3, 6.0, 10, 00
82, Magneton, 04, 17, 1.0, 60.0, 10, 00
83, Farfetchd, 13, 08, .8, 15.0, 06, 05
84, Doduo, 13, 08, 1.4, 39.2, 06, 00
85, Dodrio, 13, 08, 1.8, 85.2, 06, 00
86, Seel, 18, 00, 1.1, 90.0, 13, 05
87, Dewgong, 18, 12, 1.7, 120.0, 13, 05
88, Grimer, 14, 00, .9, 30.0, 09, 00
89, Muk, 14, 00, 1.2, 30.0, 09, 00
90, Shellder, 18, 00, .3, 4.0, 15, 00
91, Cloyster, 18, 12, 1.5, 132.5, 15, 00
92, Gastly, 09, 14, 1.3, .1, 09, 00
93, Haunter, 09, 14, 1.6, .1, 09, 00
94, Gengar, 09, 14, 1.5, 40.5, 09, 00
95, Onix, 16, 11, 8.8, 210.0, 10, 00
96, Drowzee, 15, 00, 1.0, 32.4, 08, 00
97, Hypno, 15, 00, 1.6, 75.6, 08, 00
98, Krabby, 18, 00, .4, 6.5, 15, 00
99, Kingler, 18, 00, 1.3, 60.0, 15, 00
100, Voltorb, 04, 00, .5, 10.4, 10, 00
101, Electrode, 04, 00, 1.2, 66.6, 10, 00
102, Exeggcute, 10, 15, .4, 2.5, 07, 00
103, Exeggutor, 10, 15, 2, 120.0, 07, 00
104, Cubone, 11, 00, .4, 6.5, 11, 00
105, Marowak, 11, 00, 1.0, 45.0, 11, 00
106, Hitmonlee, 06, 00, 1.5, 49.8, 08, 00
107, Hitmonchan, 06, 00, 1.4, 50.2, 08, 00
108, Lickitung, 13, 00, 1.2, 65.5, 11, 00
109, Koffing, 14, 00, .6, 1.0, 09, 00
110, Weezing, 14, 00, 1.2, 9.5, 09, 00
111, Rhyhorn, 11, 16, 1.0, 115.0, 11, 05
112, Rhydon, 11, 16, 1.9, 120.0, 11, 05
113, Chancey, 13, 00, 1.1, 34.6, 04, 00
114, Tangela, 10, 00, 1.0, 35.0, 07, 00
115, Kangaskhan, 13, 00, 2.2, 80.0, 11, 00
116, Horsea, 18, 00, .4, 8.0, 13, 03
117, Seadra, 18, 00, 1.2, 25.0, 13, 03
118, Goldeen, 18, 00, .6, 15.0, 14, 00
119, Seaking, 18, 00, 1.3, 39.0, 14, 00
120, Staryu, 18, 00, .8, 34.5, 15, 00
121, Starmie, 18, 15, 1.1, 80.0, 15, 00
122, Mr. Mime, 15, 05, 1.3, 54.5, 08, 00
123, Scyther, 01, 08, 1.5, 56.0, 01, 00
124, Jynx, 12, 15, 1.4, 40.6, 08, 00
125, Electabuzz, 04, 00, 1.1, 30.0, 08, 00
126, Magmar, 07, 00, 1.3, 44.5, 08, 00
127, Pinsir, 01, 00, 1.5, 55.0, 01, 00
128, Tauros, 13, 00, 1.4, 88.4, 05, 00
129, Magikarp, 18, 00, .9, 10.0, 14, 03
130, Gyarados, 18, 08, 6.5, 235.0, 14, 03
131, Lapras, 18, 12, 2.5, 220, 11, 13
132, Ditto, 13, 00, .3, 4.0, 02, 00
133, Eevee, 13, 00, .3, 6.5, 05, 00
134, Vaporeon, 18, 00, 1.0, 29.0, 05, 00
135, Jolteon, 04, 00, .8, 24.5, 05, 00
136, Flareon, 07, 00, .9, 25, 05, 00
137, Porygon, 13, 00, .8, 36.5, 10, 00
138, Omanyte, 16, 18, .4, 7.5, 13, 15
139, Omastar, 16, 18, 1.0, 35.0, 13, 15
140, Kabuto, 16, 18, .5, 11.5, 13, 15
141, Kabutops, 16, 18, 1.3, 40.5, 13, 15
142, Aerodactyl, 16, 08, 1.8, 59.0, 06, 00
143, Snorlax, 13, 00, 2.1, 460.0, 11, 00
144, Articuno, 12, 08, 1.7, 55.4, 16, 00
145, Zapdos, 04, 08, 1.6, 52.6, 16, 00
146, Moltres, 07, 08, 2.0, 60.0, 16, 00
147, Dratini, 03, 00, 1.8, 3.3, 13, 03
